Nº hidden neurons,Mean(mse_ts),Std(mse_ts),f_0(mse_ts)
2,11.878188144994462,2.1465182166987136,16.17122457839189
24,12.146107025963929,2.465390181658606,17.07688738928114
16,12.222160404607607,2.4838722992621056,17.18990500313182
22,12.247404375085257,2.357993245811331,16.96339086670792
13,12.265455287545047,2.4974308625140518,17.26031701257315
11,12.290537059487846,2.3792351344249414,17.04900732833773
20,12.293755130457427,2.147947020192454,16.589649170842335
21,12.29800837598158,2.504194054705009,17.3063964853916
18,12.306348332284761,2.159851043907791,16.62605042010034
12,12.359513854465453,2.6126308855878486,17.58477562564115
19,12.36809390126333,2.60006095734958,17.56821581596249
23,12.493476022092093,2.3684925502852194,17.230461122662533
25,12.49570064589743,2.2612482525473,17.01819715099203
7,12.53829087258156,2.8757815222095866,18.289853917000734
15,12.6356611853251,2.702263441207392,18.040188067739884
14,12.660712004204711,2.4827051413936685,17.62612228699205
9,12.676943943183332,2.5277605752583616,17.732465093700057
4,12.760310844440069,2.8715889346305095,18.50348871370109
8,12.765129246921274,2.9190550095823524,18.60323926608598
3,12.817922297926602,2.634023774256645,18.08596984643989
17,12.88857709570251,2.662853101843126,18.21428329938876
10,13.032104203021506,2.6900729473782583,18.41225009777802
6,13.140096997925177,2.2504396350835627,17.640976268092302
5,13.335715439180206,2.8162428315983403,18.968201102376888
