Variável,Mean(ts),Std(ts),f_0(ts)
0,0.88325,0.045833257575694966,0.7915834848486101
1,0.8877500000000002,0.050682220748503135,0.7863855585029939
2,0.88075,0.04634854366644114,0.7880529126671177
3,0.8909999999999999,0.05117616632769594,0.788647667344608
4,0.8827499999999999,0.04739396058571176,0.7879620788285764
5,0.8797499999999998,0.05741243332240849,0.7649251333551829
6,0.8830000000000001,0.05072967573324316,0.7815406485335138
7,0.8842500000000001,0.05179949324076444,0.7806510135184712
8,0.8885000000000001,0.04942418436352794,0.7896516312729442
9,0.8857499999999999,0.04850966398564311,0.7887306720287137
10,0.87975,0.05404801106423806,0.7716539778715239
11,0.88775,0.045756830091255245,0.7962363398174895
12,0.88225,0.049534710052648936,0.7831805798947021
13,0.8797499999999999,0.058169472234153884,0.7634110555316922
14,0.8877499999999999,0.05973849261573313,0.7682730147685337
15,0.8909999999999999,0.04235563716909475,0.8062887256618104
16,0.88475,0.050731523730319784,0.7832869525393604
17,0.8872500000000001,0.046970070257558706,0.7933098594848826
18,0.88625,0.050790624134775114,0.7846687517304498
19,0.8902500000000001,0.053255868221258024,0.7837382635574841
20,0.8895000000000002,0.04977198006911118,0.7899560398617778
21,0.8862499999999999,0.046283771453934044,0.7936824570921318
22,0.8899999999999999,0.051356596460435354,0.7872868070791292
23,0.8875,0.050559371040391723,0.7863812579192165
24,0.8837500000000001,0.04916490109824285,0.7854201978035145
25,0.8945000000000001,0.05106123774449656,0.792377524511007
26,0.8862499999999999,0.04614853735493683,0.7939529252901262
27,0.8795000000000001,0.058135617309872954,0.7632287653802542
28,0.8875000000000002,0.04723610906922797,0.7930277818615442
29,0.8857500000000001,0.05364874183054064,0.7784525163389189
30,0.8937499999999998,0.051158454824202816,0.7914330903515941
31,0.88225,0.0574777130721117,0.7672945738557766
32,0.8869999999999999,0.052616537324305185,0.7817669253513895
33,0.8747500000000001,0.05900158896165424,0.7567468220766916
34,0.8922500000000002,0.048308254988148766,0.7956334900237026
35,0.88125,0.049796460717605226,0.7816570785647895
36,0.8845000000000001,0.05084043666216883,0.7828191266756624
37,0.8867500000000003,0.04904780830985214,0.7886543833802959
38,0.8865000000000001,0.05583681581179213,0.7748263683764158
39,0.88775,0.05344331108754397,0.7808633778249121
40,0.8782499999999999,0.05239930820154023,0.7734513835969195
41,0.8812500000000001,0.05342927568290627,0.7743914486341875
42,0.8870000000000001,0.045205088209182835,0.7965898235816344
43,0.8909999999999999,0.05080846386184098,0.789383072276318
44,0.8937500000000002,0.04098399077688751,0.8117820184462251
45,0.89375,0.05515602868227552,0.783437942635449
46,0.879,0.04996498774141749,0.779070024517165
47,0.9,0.047565743976101124,0.8048685120477977
48,0.895,0.05086747487343952,0.793265050253121
49,0.8809999999999999,0.051249390240275056,0.7785012195194498
50,0.883,0.04567274898667695,0.7916545020266461
51,0.8752499999999999,0.05640201680791211,0.7624459663841756
52,0.8885000000000001,0.04407663780280888,0.8003467243943823
53,0.8842500000000001,0.04804359999000907,0.788162800019982
54,0.8885000000000001,0.0560602354615105,0.776379529076979
55,0.883,0.04768123320552857,0.7876375335889428
56,0.885,0.05744562646538029,0.7701087470692394
57,0.8884999999999998,0.05516112761719072,0.7781777447656184
58,0.871,0.04426059195266146,0.7824788160946771
59,0.87975,0.047656977453464255,0.7844360450930715
60,0.8910000000000001,0.048285608622031476,0.7944287827559372
61,0.8932499999999999,0.04634854366644114,0.8005529126671176
62,0.88075,0.05383481680102571,0.7730803663979486
63,0.893,0.050507425196697577,0.7919851496066048
64,0.8794999999999998,0.0530777731258575,0.7733444537482849
65,0.8845000000000001,0.05047028828924994,0.7835594234215002
66,0.8959999999999999,0.05575840743780259,0.7844831851243947
67,0.8860000000000001,0.04953786430600335,0.7869242713879934
